px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.9555	-12.7689	-2.84722	-0.667134	-1.09898	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.85684
5.79162	-12.7002	-2.91756	-0.6888	-1.0656	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.31296
5.6986	-12.6395	-2.65301	-0.721251	-1.02132	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.19223
5.54388	-12.5707	-2.70039	-0.740482	-0.985556	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.12238
5.4181	-12.454	-2.80462	-0.797107	-0.992943	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.02253
5.25572	-12.376	-2.85323	-0.807103	-0.949777	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	1.53783
5.15545	-12.2822	-2.75898	-0.847671	-0.933718	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.04035
5.01748	-12.1897	-2.7887	-0.867703	-0.903395	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.723328
4.92025	-12.0759	-2.81371	-0.911081	-0.901604	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.38712
4.80969	-11.9866	-2.82194	-0.931473	-0.87802	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.541339
4.71466	-11.8571	-2.85596	-0.978889	-0.878401	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.140808
4.63301	-11.7279	-2.84986	-1.02752	-0.878905	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0203975
4.58526	-11.6277	-2.61495	-1.07668	-0.875	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	4.73867
4.52491	-11.5116	-2.59676	-1.12283	-0.873823	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.217404
4.40534	-11.3196	-3.10891	-1.15166	-0.86338	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	23.6545
4.37283	-11.1671	-3.09869	-1.21482	-0.883446	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.308107
4.37636	-11.0565	-2.72922	-1.29026	-0.912052	4.43713	-11.024	4.45	-11.05	0	1.81614	12.4171
4.36895	-10.9092	-2.71259	-1.36029	-0.932384	4.45136	-10.93	4.45	-10.95	0	1.81612	0.430461
4.34721	-10.7628	-2.7119	-1.41512	-0.935955	4.44745	-10.786	4.45	-10.8	0	2.72555	0.102367
4.36198	-10.6145	-2.69787	-1.48902	-0.958829	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.595802
4.35979	-10.4713	-2.68832	-1.54473	-0.96215	4.46329	-10.5756	4.45	-10.5	0	2.729	0.242267
4.38089	-10.3228	-2.68571	-1.61197	-0.976624	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.2235
4.40244	-10.1803	-2.66286	-1.67452	-0.986748	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.231487
4.4549	-10.0309	-2.67093	-1.75227	-1.01003	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.539747
4.4855	-9.88572	-2.6998	-1.80377	-1.00314	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.467149
4.55303	-9.73852	-2.71483	-1.87927	-1.02306	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.430386
4.57503	-9.5754	-2.81603	-1.90098	-0.976319	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.08014
4.65778	-9.4306	-2.83066	-1.97387	-0.994941	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.497188
4.73609	-9.29455	-2.82364	-2.03964	-1.00741	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.419951
4.84636	-9.14765	-2.86889	-2.11741	-1.02841	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.636192
4.93178	-9.02544	-2.87179	-2.17631	-1.03794	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.090727
5.02057	-8.9163	-2.8652	-2.23158	-1.04131	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.0819689
5.09424	-8.78901	-2.87707	-2.2542	-0.991493	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.74167
5.21634	-8.65917	-2.91494	-2.3168	-0.998287	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.202067
