px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
103.012	15.4001	0.621353	-1.10806	-0.599424	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.51262
102.988	15.4645	1.18675	-0.623235	-0.0181261	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.29246
104.091	15.2486	1.42286	0.0844801	0.404743	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.886596
104.039	15.243	1.30825	0.0445895	0.381191	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.606365
105.531	14.4756	1.82805	-0.79797	-0.326812	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.75143
105.48	14.4775	1.83077	-0.731349	-0.245379	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.743383
106.814	14.0274	1.39294	-0.298195	0.175636	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.10743
106.772	14.0055	1.52467	-0.299858	0.216732	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.33322
108.079	13.6595	1.7433	-0.0494945	0.237338	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0271715
108.081	13.6606	1.67128	-0.0567648	0.223177	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0598038
109.531	13.5731	1.85665	0.0799452	0.171733	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0264586
109.485	13.5667	1.61806	0.065198	0.158862	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.422189
111.057	12.6108	1.84081	-0.922083	-0.525067	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.58378
111.146	12.6576	2.31896	-0.660357	-0.179515	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.18571
112.901	12.465	1.50653	-0.0666906	0.301474	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.57348
112.913	12.4466	1.77206	-0.0563693	0.32092	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.404434
114.788	12.5475	2.44126	0.289025	0.334657	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.261584
114.79	12.5537	2.08949	0.304459	0.373319	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.420581
116.68	12.1228	1.95713	-0.318605	-0.226792	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	1.25062
116.725	12.1377	2.27907	-0.237398	-0.130918	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.482584
118.94	11.9931	2.76086	0.0525801	0.136702	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.426748
118.907	11.9982	2.37189	0.0757189	0.145143	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.437841
120.698	12.2915	2.20965	0.262708	0.17134	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0185776
120.743	12.2955	2.30418	0.26187	0.169147	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.454121
123.541	12.8297	3.66087	0.0774457	-0.0538252	123.568	12.8297	122.95	12.5114	2.29835	0.246599	1.29704
123.435	12.8099	2.71731	0.0124398	-0.109781	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.70239
124.909	12.7734	1.88292	-0.0757522	-0.0959489	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.500893
125.018	12.786	2.63486	-0.0621161	-0.0653027	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.60019
127.836	13.3178	3.45641	0.419902	0.279422	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.870595
127.759	13.3188	2.98428	0.481288	0.37344	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.31097
129.95	13.7109	2.25413	0.227241	-0.022788	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.770018
130.033	13.7235	2.50234	0.215187	-0.0371591	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.40683
132.091	14.5028	2.64505	0.379216	0.0900125	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0637536
132.159	14.5092	2.82136	0.365065	0.0717996	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.02654
135.054	15.049	3.70103	0.0149395	-0.195037	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.762881
135.032	15.0314	2.99113	-0.0669762	-0.294946	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.13574
137.561	16.1977	2.80687	0.608912	0.321584	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.30516
